User,Label,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
adithi,Genuine,0.151,1.296,1.145,0.161,0.453,0.292,0.176,2.75,2.574,0.183,0.724,0.541,0.11,2.146,2.036,0.497,0.372,-0.125,0.171,1.494,1.323,0.131,1.367,1.236,0.186,1.564,1.378,0.123,0.608,0.485,0.151
adithi,Genuine,0.131,0.498,0.367,0.145,0.517,0.372,0.147,0.549,0.402,0.116,0.623,0.507,0.125,1.017,0.892,0.551,0.431,-0.12,0.201,0.935,0.734,0.165,0.433,0.268,0.176,0.346,0.17,0.141,0.519,0.378,0.11
adithi,Genuine,0.145,0.664,0.519,0.119,0.417,0.298,0.186,0.402,0.216,0.14,0.498,0.358,0.155,0.538,0.383,0.472,0.332,-0.14,0.261,0.713,0.452,0.151,0.408,0.257,0.155,0.376,0.221,0.156,0.458,0.302,0.15
adithi,Genuine,0.138,0.811,0.673,0.162,0.337,0.175,0.161,0.821,0.66,0.155,0.552,0.397,0.136,0.342,0.206,0.478,0.308,-0.17,0.22,0.844,0.624,0.145,0.296,0.151,0.19,0.462,0.272,0.176,0.764,0.588,0.161
adithi,Genuine,0.17,0.744,0.574,0.135,0.904,0.769,0.151,0.774,0.623,0.192,0.639,0.447,0.145,0.438,0.293,0.593,0.452,-0.141,0.241,0.568,0.327,0.176,0.427,0.251,0.209,0.482,0.273,0.161,0.755,0.594,0.14
adithi,Genuine,0.195,0.809,0.614,0.216,0.487,0.271,0.206,0.433,0.227,0.15,0.946,0.796,0.109,0.411,0.302,0.613,0.473,-0.14,0.21,0.594,0.384,0.164,0.496,0.332,0.176,0.412,0.236,0.161,0.428,0.267,0.141
adithi,Genuine,0.161,0.618,0.457,0.181,0.478,0.297,0.171,0.668,0.497,0.193,0.786,0.593,0.165,0.794,0.629,0.803,0.501,-0.302,0.443,0.03,-0.413,1.197,0.03,-1.167,2.022,0.032,-1.99,2.508,0.03,-2.478,3.855,0.02,-3.835,-1755195710.781,0.885,1755195711.666,-1755195711.666,0.859,1755195712.525,-1755195712.525,0.508,1755195713.033,-1755195713.033,1.397,1755195714.43,-1755195714.43
adithi,Genuine,0.185,0.854,0.669,0.172,0.459,0.287,0.165,0.684,0.519,0.226,0.778,0.552,0.181,0.669,0.488,0.538,0.403,-0.135,0.27,0.632,0.362,0.161,0.674,0.513,0.206,0.473,0.267,0.155,0.498,0.343,0.185
adithi,Genuine,0.211,0.764,0.553,0.176,0.497,0.321,0.177,0.503,0.326,0.181,1.111,0.93,0.136,1.106,0.97,1.312,0.503,-0.809,1.211,0.03,-1.181,1.935,0.03,-1.905,2.287,0.03,-2.257,2.916,0.031,-2.885,3.357,0.031,-3.326,-1755195735.902,0.029,1755195735.931,-1755195735.931,0.029,1755195735.96,-1755195735.96,0.031,1755195735.991,-1755195735.991,0.032,1755195736.023,-1755195736.023,0.028,1755195736.051,-1755195736.051,0.031,1755195736.082,-1755195736.082,0.029,1755195736.111,-1755195736.111,0.031,1755195736.142,-1755195736.142,0.03,1755195736.172,-1755195736.172,0.03,1755195736.202,-1755195736.202,0.03,1755195736.232,-1755195736.232,0.03,1755195736.262,-1755195736.262,0.031,1755195736.293,-1755195736.293,0.03,1755195736.323,-1755195736.323,0.03,1755195736.353,-1755195736.353,0.031,1755195736.384,-1755195736.384,0.029,1755195736.413,-1755195736.413,0.004,1755195736.417,-1755195736.417,1.098,1755195737.515,-1755195737.515,0.336,1755195737.851,-1755195737.851,0.718,1755195738.569,-1755195738.569,0.508,1755195739.077,-1755195739.077
adithi,Genuine,0.185,0.803,0.618,0.187,0.937,0.75,0.154,0.451,0.297,0.186,0.825,0.639,0.145,1.267,1.122,0.593,0.423,-0.17,0.331,2.618,2.287,0.176,0.397,0.221,0.181,0.306,0.125,0.176,0.437,0.261,0.177
adithi,Genuine,0.172,1.303,1.131,0.186,0.401,0.215,0.202,0.498,0.296,0.181,0.849,0.668,0.215,0.557,0.342,0.674,0.458,-0.216,0.372,1.885,1.513,0.187,0.348,0.161,0.18,0.744,0.564,0.156,0.648,0.492,0.171
adithi,Genuine,0.15,0.647,0.497,0.181,0.599,0.418,0.185,0.594,0.409,0.184,1.265,1.081,0.176,0.408,0.232,0.417,0.266,-0.151,0.232,0.775,0.543,0.185,0.371,0.186,0.231,0.287,0.056,0.176,0.468,0.292,0.17
adithi,Genuine,0.172,0.633,0.461,0.196,0.297,0.101,0.231,0.528,0.297,0.191,0.709,0.518,0.156,0.618,0.462,0.508,0.343,-0.165,0.231,1.066,0.835,0.21,0.541,0.331,0.222,0.393,0.171,0.176,0.548,0.372,0.175
adithi,Genuine,0.181,0.8,0.619,0.18,0.473,0.293,0.202,0.547,0.345,0.216,0.804,0.588,0.18,0.458,0.278,0.542,0.377,-0.165,0.255,0.768,0.513,0.216,0.428,0.212,0.211,0.709,0.498,0.156,0.582,0.426,0.207
adithi,Genuine,0.18,0.713,0.533,0.175,0.578,0.403,0.151,0.412,0.261,0.251,1.025,0.774,0.161,0.665,0.504,0.577,0.426,-0.151,0.181,0.613,0.432,0.166,0.258,0.092,0.24,0.391,0.151,0.196,0.784,0.588,0.216
adithi,Genuine,0.188,0.696,0.508,0.186,0.497,0.311,0.166,1.015,0.849,0.171,0.543,0.372,0.191,1.192,1.001,1.949,0.502,-1.447,1.629,0.03,-1.599,2.312,0.03,-2.282,2.729,0.03,-2.699,3.374,0.03,-3.344,4.434,0.031,-4.403,-1755195803.224,0.029,1755195803.253,-1755195803.253,0.031,1755195803.284,-1755195803.284,0.031,1755195803.315,-1755195803.315,0.034,1755195803.349,-1755195803.349,0.033,1755195803.382,-1755195803.382,0.028,1755195803.41,-1755195803.41,0.031,1755195803.441,-1755195803.441,0.029,1755195803.47,-1755195803.47,0.03,1755195803.5,-1755195803.5,0.03,1755195803.53,-1755195803.53,0.031,1755195803.561,-1755195803.561,0.029,1755195803.59,-1755195803.59,0.031,1755195803.621,-1755195803.621,0.03,1755195803.651,-1755195803.651,0.03,1755195803.681,-1755195803.681,0.031,1755195803.712,-1755195803.712,0.029,1755195803.741,-1755195803.741,0.031,1755195803.772,-1755195803.772,0.029,1755195803.801,-1755195803.801,0.032,1755195803.833,-1755195803.833,0.029,1755195803.862,-1755195803.862,0.03,1755195803.892,-1755195803.892,0.03,1755195803.922,-1755195803.922,0.031,1755195803.953,-1755195803.953,0.03,1755195803.983,-1755195803.983,0.029,1755195804.012,-1755195804.012,0.031,1755195804.043,-1755195804.043,0.03,1755195804.073,-1755195804.073,0.03,1755195804.103,-1755195804.103,0.03,1755195804.133,-1755195804.133,0.031,1755195804.164,-1755195804.164,0.03,1755195804.194,-1755195804.194,0.03,1755195804.224,-1755195804.224,0.031,1755195804.255,-1755195804.255,0.032,1755195804.287,-1755195804.287,0.028,1755195804.315,-1755195804.315,0.03,1755195804.345,-1755195804.345,0.03,1755195804.375,-1755195804.375,0.015,1755195804.39,-1755195804.39,0.809,1755195805.199,-1755195805.199,0.443,1755195805.642,-1755195805.642,0.693,1755195806.335,-1755195806.335,1.086,1755195807.421,-1755195807.421
adithi,Genuine,0.201,0.594,0.393,0.201,0.422,0.221,0.197,0.406,0.209,0.141,0.499,0.358,0.135,0.386,0.251,0.624,0.503,-0.121,0.222,0.011,-0.211,0.642,0.494,-0.148,0.465,0.26,-0.205,1.025,0.854,-0.171,0.753,0.578,-0.175,-1755195821.737
adithi,Genuine,0.221,2.151,1.93,0.18,0.517,0.337,0.16,0.488,0.328,0.267,0.653,0.386,0.167,0.81,0.643,0.663,0.502,-0.161,0.292,0.005,-0.287,1.021,0.815,-0.206,0.648,0.422,-0.226,0.513,0.363,-0.15,0.587,0.396,-0.191,-1755195831.167
adithi,Genuine,0.166,0.708,0.542,0.167,0.388,0.221,0.171,0.402,0.231,0.155,0.503,0.348,0.14,0.327,0.187,0.553,0.416,-0.137,0.242,0.855,0.613,0.186,0.548,0.362,0.216,0.554,0.338,0.14,0.572,0.432,0.161
adithi,Genuine,0.171,0.598,0.427,0.181,0.313,0.132,0.205,0.421,0.216,0.161,0.468,0.307,0.161,0.292,0.131,0.452,0.303,-0.149,0.244,0.953,0.709,0.131,0.291,0.16,0.216,0.338,0.122,0.188,0.406,0.218,0.183
